ID,RIDE_NAME,Ride_duration_min,Ride_duration_sec
1,Disneyland Railroad,22,1320
2,Great Moments with Mr. Lincoln,16,960
3,The Disney Gallery,15,900
4,Main Street Vehicles,7,420
5,Main Street Cinema,15,900
6,Walt Disney's Enchanted Tiki Room,14.5,870
7,Jungle Cruise,7.5,450
8,Indiana Jones Adventure: Temple of the Forbidden Eye,10,600
9,Tarzan's Treehouse,9,540
10,Pirates of the Caribbean,15,900
11,The Haunted Mansion,1,60
12,Disneyland Railroad,22,1320
13,Davy Crockett Explorer Canoes,10,600
14,The Many Adventures of Winnie the Pooh,4,240
15,Splash Mountain,11,660
16,Big Thunder Mountain Railroad,3.5,210
17,Mark Twain Riverboat,18,1080
18,Frontierland Shootin' Exposition,5,300
19,Pirate's Lair on Tom Sawyer Island,45,2700
20,Sailing Ship Columbia,14,840
21,Goofy's Playhouse,5,300
22,Donald's Boat,5,300
23,Gadget's Go Coaster,1,60
24,Chip 'n Dale's Treehouse,10,600
25,Mickey's House and Meet Mickey,5,300
26,Minnie's House,5,300
27,Roger Rabbit's Car Toon Spin,4,240
28,Fantasyland Theatre,20,1200
29,It's a Small World,14,840
30,Mr. Toad's Wild Ride,2,120
31,Peter Pan's Flight,3,180
32,Pinocchio's Daring Journey,3,180
33,Pixie Hollow,10,600
34,Snow White's Enchanted Wish,2,120
35,Storybook Land Canal Boats,9.5,570
36,Dumbo the Flying Elephant,1.67,100.2
37,Casey Jr. Circus Train,4,240
38,Alice in Wonderland,4,240
39,Matterhorn Bobsleds,4,240
40,King Arthur Carrousel,3,180
41,Mad Tea Party,1.5,90
42,Sleeping Beauty Castle Walkthrough,4,240
43,Astro Orbiter,1.5,90
44,Autopia,4.5,270
45,Star Tours: The Adventures Continue,7,420
46,Buzz Lightyear Astro Blasters,1,60
47,Space Mountain,5,300
48,Disneyland Monorail,15,900
49,Disneyland Railroad,15,900
50,Finding Nemo Submarine Voyage,13,780
51,Star Wars Launch Bay,45,2700
52,Millennium Falcon: Smuggler's Run,5,300
53,Star Wars: Rise of the Resistance,18,1080