ID,RIDE_NAME,Ride_duration_min,Ride_duration_sec,latitude,longitude,wait_times
0,Entrance,0,0,33.809479,-117.918985,0
1,Disneyland Railroad,22,1320,33.81012867227412,-117.91897673952292,20
2,Great Moments with Mr. Lincoln,16,960,33.81039372101548,-117.91849169618011,0
3,The Disney Gallery,15,900,33.81037710503839,-117.91852290554488,0
4,Main Street Vehicles,7,420,33.810329013385534,-117.91897147448668,0
5,Main Street Cinema,15,900,33.810905648497084,-117.91885813795803,0
6,Walt Disney's Enchanted Tiki Room,14.5,870,33.812027975471786,-117.91954345304019,0
7,Jungle Cruise,7.5,450,33.81147549174894,-117.92012173805804,10
8,Indiana Jones Adventure: Temple of the Forbidden Eye,10,600,33.81126441751017,-117.92050819894655,20
9,Tarzan's Treehouse,9,540,33.811425584734295,-117.92054634813822,15
10,Pirates of the Caribbean,15,900,33.81132238552898,-117.92077836391479,25
11,The Haunted Mansion,10,600,33.81189260586706,-117.92219214092972,50
12,Disneyland Railroad,22,1320,33.81012867227412,-117.91897673952292,20
13,Davy Crockett Explorer Canoes,10,600,33.81263501682983,-117.92206608932206,0
14,The Many Adventures of Winnie the Pooh,4,240,33.81259485087874,-117.92314000413577,5
15,Splash Mountain,11,660,33.81218606985673,-117.9224404523384,50
16,Big Thunder Mountain Railroad,3.5,210,33.81270186436913,-117.92037400395294,40
17,Mark Twain Riverboat,18,1080,33.81243279605013,-117.92053788508028,20
18,Frontierland Shootin' Exposition,5,300,33.81250488788274,-117.919838037267,0
19,Pirate's Lair on Tom Sawyer Island,45,2700,33.812290933610335,-117.92108479121391,5
20,Sailing Ship Columbia,14,840,33.81244134623838,-117.92057748239583,0
21,Goofy's Playhouse,5,300,33.81540326774444,-117.9189213530419,0
22,Donald's Boat,5,300,33.815349110774726,-117.91902975176951,0
23,Gadget's Go Coaster,3,180,33.81530176504599,-117.91934167914751,5
24,Chip 'n Dale's Treehouse,10,600,33.81557485015922,-117.91955283608758,0
25,Mickey's House and Meet Mickey,5,300,33.81564763840318,-117.91913300906909,40
26,Minnie's House,5,300,33.81581699384838,-117.91885423702801,0
27,Roger Rabbit's Car Toon Spin,4,240,33.815620935316645,-117.91840610119894,30
28,Fantasyland Theatre,20,1200,33.81497447561786,-117.91891518709603,0
29,It's a Small World,14,840,33.81466553533905,-117.91786027422263,5
30,Mr. Toad's Wild Ride,2,120,33.81354392847479,-117.9187052804268,15
31,Peter Pan's Flight,3,180,33.81334502835495,-117.91883703656762,25
32,Pinocchio's Daring Journey,3,180,33.81353975750613,-117.91925979550054,10
33,Pixie Hollow,10,600,33.81265627777817,-117.91818796811685,0
34,Snow White's Enchanted Wish,2,120,33.81331938668568,-117.91919575281298,20
35,Storybook Land Canal Boats,9.5,570,33.813824571002286,-117.91826529527177,20
36,Dumbo the Flying Elephant,1.67,100.2,33.81389255674205,-117.9189410954974,30
37,Casey Jr. Circus Train,4,240,33.813987326988546,-117.91917809434513,5
38,Alice in Wonderland,4,240,33.8134564712479,-117.91825384513488,30
39,Matterhorn Bobsleds,4,240,33.81346248302537,-117.91779883234393,25
40,King Arthur Carrousel,3,180,33.81365225426524,-117.91889756443932,10
41,Mad Tea Party,1.5,90,33.81363095258149,-117.91829683815685,5
42,Sleeping Beauty Castle Walkthrough,4,240,33.812047865787406,-117.91808080592466,0
43,Astro Orbiter,1.5,90,33.81228782214368,-117.91830900399188,15
44,Autopia,4.5,270,33.812660233662314,-117.91635563853661,5
45,Star Tours: The Adventures Continue,7,420,33.8120626795028,-117.91809109714082,10
46,Buzz Lightyear Astro Blasters,10,600,33.812300521252084,-117.91804457829629,10
47,Space Mountain,5,300,33.81106224205584,-117.91748099933893,50
48,Disneyland Monorail,15,900,33.813505929666576,-117.91676345169799,20
49,Finding Nemo Submarine Voyage,13,780,33.812947044816745,-117.91696662461773,10
50,Star Wars Launch Bay,45,2700,33.81247248379244,-117.91680936025907,40
51,Millennium Falcon: Smuggler's Run,5,300,33.81500581998147,-117.9213967999652,20
52,Star Wars: Rise of the Resistance,18,1080,33.81387473343871,-117.9232419888417,20